Date,Monthly Return
2018-01-31,
2018-02-28,0.030834958135235846
2018-03-31,0.056603735575321945
2018-04-30,-0.008832441945697211
2018-05-31,0.0755248241653137
2018-06-30,-0.09945653941207078
2018-07-31,-0.03238827144082934
2018-08-31,0.012984498854190951
2018-09-30,-0.02353938453294835
2018-10-31,-0.0086699791185183
2018-11-30,0.058454110141141546
2018-12-31,-0.04826616817080176
2019-01-31,0.004048652207590209
2019-02-28,0.13106322350778932
2019-03-31,0.013972710607387029
2019-04-30,-0.049534394718054764
2019-05-31,-0.13186295597454423
2019-06-30,0.08696598675160172
2019-07-31,0.055985269056009646
2019-08-31,-0.055784566596688845
2019-09-30,0.08690187307922903
2019-10-31,0.09703057139267135
2019-11-30,0.03253987966773675
2019-12-31,0.031007893426266975
2020-01-31,0.06817048691346894
2020-02-29,-0.12727320694371735
2020-03-31,-0.025216337020220414
2020-04-30,0.10827792652586599
2020-05-31,0.05510969714480418
2020-06-30,-0.04926107838423932
2020-07-31,-0.20223979437915707
2020-08-31,0.07471247158157168
2020-09-30,0.01629064569449401
2020-10-31,-0.14484375699006724
2020-11-30,0.09985725545169277
2020-12-31,0.030403426711752335
2021-01-31,0.11421110458367956
2021-02-28,0.10158390400871076
2021-03-31,0.052978166447524844
2021-04-30,-0.10109382655272015
2021-05-31,-0.0010115560159259518
2021-06-30,-0.017156941626552014
2021-07-31,-0.04310644526884755
2021-08-31,0.012868564679791028
2021-09-30,-0.014428450797842496
2021-10-31,-0.08033042895598663
2021-11-30,0.011064332250310116
2021-12-31,0.04674793468607996
2022-01-31,-0.052038701461148085
2022-02-28,-0.015498591148223495
2022-03-31,0.03899369422264054
2022-04-30,-0.12045992772272551
2022-05-31,0.02709612605734435
2022-06-30,-0.1578118458308959
2022-07-31,-0.029403670847075736
2022-08-31,-0.11202867937761263
2022-09-30,-0.19266904578844324
2022-10-31,0.10322079608869883
2022-11-30,0.07197051936975707
2022-12-31,-0.12105084236022678
