Date,Monthly Return
2018-01-31,
2018-02-28,-0.04585580337880035
2018-03-31,-0.10391449881129144
2018-04-30,0.07641294371059182
2018-05-31,0.11499992659067981
2018-06-30,0.013244442777436083
2018-07-31,-0.11187740652552369
2018-08-31,0.018252431592734153
2018-09-30,-0.0641323385069068
2018-10-31,-0.07704022577221137
2018-11-30,-0.07365429210593788
2018-12-31,-0.06770501411995078
2019-01-31,0.27156914652975805
2019-02-28,-0.03143561945141504
2019-03-31,0.03245589047329012
2019-04-30,0.1602374827191686
2019-05-31,-0.08236802991687497
2019-06-30,0.08750766767269536
2019-07-31,0.006373033094143166
2019-08-31,-0.0440714511861543
2019-09-30,-0.04087897482446978
2019-10-31,0.07620171753676641
2019-11-30,0.05212624770698526
2019-12-31,0.017903288118946925
2020-01-31,-0.016272824927450857
2020-02-29,-0.04675352258563903
2020-03-31,-0.13337142221002962
2020-04-30,0.22727818669404143
2020-05-31,0.09955536210217963
2020-06-30,0.008796566256999316
2020-07-31,0.11714444607180252
2020-08-31,0.15583247705391368
2020-09-30,-0.10675310254858206
2020-10-31,0.004620053486498188
2020-11-30,0.05267756885180375
2020-12-31,-0.013756078487627055
2021-01-31,-0.05429045173165459
2021-02-28,-0.0027484887518252066
2021-03-31,0.14327313582810408
2021-04-30,0.1037245374960456
2021-05-31,0.011228083721232407
2021-06-30,0.057737285476312294
2021-07-31,0.024704568196705523
2021-08-31,0.06477685247803477
2021-09-30,-0.10540876072184369
2021-10-31,-0.04661315836063751
2021-11-30,0.002750471718907077
2021-12-31,0.03664560406619288
2022-01-31,-0.06864873896475854
2022-02-28,-0.3263423518847305
2022-03-31,0.053689127192961816
2022-04-30,-0.098444053452027
2022-05-31,-0.03406984415007952
2022-06-30,-0.16726923182407127
2022-07-31,-0.01333329283709117
2022-08-31,0.02407287091560395
2022-09-30,-0.16724973315584746
2022-10-31,-0.3133844100188241
2022-11-30,0.26771147689755215
2022-12-31,0.018966981176087527
