Date,Monthly Return
2018-01-31,
2018-02-28,-0.06623134322323299
2018-03-31,-0.06049353035564342
2018-04-30,-0.017895311967775607
2018-05-31,0.07993479381472324
2018-06-30,0.026536354703039056
2018-07-31,0.08681443956672608
2018-08-31,0.003732031151550741
2018-09-30,-0.02006815158160513
2018-10-31,-0.09651395608768265
2018-11-30,0.017486115223482424
2018-12-31,-0.05829763409382871
2019-01-31,0.07744789835719512
2019-02-28,0.0005862447552154038
2019-03-31,0.04468505396401934
2019-04-30,0.018752855377988764
2019-05-31,-0.07711681510407631
2019-06-30,-0.021418932939359592
2019-07-31,0.12504623017470706
2019-08-31,-0.022713877011646066
2019-09-30,0.025711213261286225
2019-10-31,0.03084004193611367
2019-11-30,0.035978722112812944
2019-12-31,0.027068607195414485
2020-01-31,0.06972589760972414
2020-02-29,-0.06527877451483843
2020-03-31,-0.13238745668445684
2020-04-30,0.1589998955391394
2020-05-31,0.06446868689255125
2020-06-30,-0.010791642884482533
2020-07-31,0.04929303306650845
2020-08-31,0.09515117284865693
2020-09-30,-0.10059964835899304
2020-10-31,0.1026951547248991
2020-11-30,0.08556969750719756
2020-12-31,-0.0010031182547817208
2021-01-31,0.04263269926654756
2021-02-28,0.10646510753833538
2021-03-31,0.02008502156027614
2021-04-30,0.14107982293082566
2021-05-31,0.0014233903989393504
2021-06-30,0.036039642516404236
2021-07-31,0.10350606039420684
2021-08-31,0.07400915138663344
2021-09-30,-0.07616926187846429
2021-10-31,0.10749871466266381
2021-11-30,-0.041530930237580144
2021-12-31,0.02082127543746659
2022-01-31,-0.06591892431886048
2022-02-28,-0.0018218616158459655
2022-03-31,0.029694878365991606
2022-04-30,-0.17946687292716557
2022-05-31,-0.00304525263920985
2022-06-30,-0.042184639128390544
2022-07-31,0.0675184182745221
2022-08-31,-0.0696355018293554
2022-09-30,-0.11615225192276102
2022-10-31,-0.011918452399514612
2022-11-30,0.06856412028890135
2022-12-31,-0.1263491000824355
