Algorithm,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,BABA,NOW,ADBE,CRM,V,KO,PFE,PEP,INTC,CSCO,IBM,NFLX,ORCL
Basic EP,0.14971013110057663,0.03242734500218321,0.07120541096760716,0.0,0.0,0.0,0.11450736735236186,0.0,0.17247699894764634,0.0,0.0,0.04516626974016853,0.17453864001306085,0.18834292335663064,0.04831298597965395,0.0,0.0033119275401107926,0.0,0.0,0.0
Advanced EP,0.19385785646729273,0.21169609142730525,0.0,0.0,0.0,0.0,0.10536709827755163,0.03639884433454829,0.12555775653876255,0.0,0.0,0.043546316970302944,0.0785817748092419,0.19595408202268533,0.0,0.0,0.009040179152309298,0.0,0.0,0.0
Basic ES,0.28500948787141206,0.03121741431072971,0.018958430524147748,0.0,0.0,0.0,0.1209853215612729,0.0,0.11739630500680272,0.0,0.0,0.03543283780796975,0.0028511565754174447,0.18570376794640128,0.1336776583237701,0.0,0.033339052953371445,0.007221275562759309,0.0,0.02820729155594552
Advanced ES,0.16275180769911748,0.20153754858656062,0.009106728973641053,0.0,0.0,0.0,0.16231215687644096,0.0,0.11079631680630694,0.0,0.0,0.0,0.2637849140444462,0.038158277668285195,0.0,0.0,0.0,0.051552249345201535,0.0,0.0
(μ + λ) ES,0.034359425062273616,0.4054317898774695,0.0,0.0,0.0,0.0,0.020793453244765336,0.0,0.11288821736266322,0.0,0.0,0.0,0.0,0.10923907749926685,0.26164063968854484,0.0,0.0,0.0,0.005542132661974907,0.05010526460304174
"(μ, λ) ES",0.0882041895157481,0.4544440241026826,0.0,0.0,8.018410264423994e-05,4.22945997169241e-05,0.04748302467190678,0.0013530839524515633,0.06310514555846737,0.0005732248752360108,0.00018168890325848686,0.0008629359497392796,0.0,0.04608035129408998,0.2907281422568856,0.0,0.0062270398240447345,0.0,0.0006346703931283755,0.0
