Date,Monthly Return
2018-01-31,
2018-02-28,-0.010626719061026302
2018-03-31,-0.022583254578581347
2018-04-30,0.031558145081103106
2018-05-31,-0.008993511597177983
2018-06-30,0.009740827757068082
2018-07-31,0.1006062797735261
2018-08-31,0.0486737509902091
2018-09-30,0.06141627028993235
2018-10-31,-0.022918063091841523
2018-11-30,0.08190302329504062
2018-12-31,-0.0558080382428936
2019-01-31,-0.018997692860125093
2019-02-28,0.021201293803356558
2019-03-31,-0.02029992759165178
2019-04-30,-0.04379573656687308
2019-05-31,0.03147640650867434
2019-06-30,0.0433527173588546
2019-07-31,-0.10341664894685476
2019-08-31,-0.07614338093245021
2019-09-30,0.01068938912861439
2019-10-31,0.06790983365378045
2019-11-30,0.013611393969787722
2019-12-31,0.017133809433048652
2020-01-31,-0.03980574077991583
2020-02-29,-0.1025779612960015
2020-03-31,-0.02333920471717288
2020-04-30,0.1752452948055545
2020-05-31,0.005489835363155837
2020-06-30,-0.1437549796158285
2020-07-31,0.1882593457299946
2020-08-31,-0.017931001806405167
2020-09-30,-0.028843813139575847
2020-10-31,-0.033242270790208917
2020-11-30,0.1497744475097722
2020-12-31,-0.03915433941131874
2021-01-31,-0.014111627417233374
2021-02-28,-0.06713093277390636
2021-03-31,0.08181545377926258
2021-04-30,0.0667954600397036
2021-05-31,0.011943701758041492
2021-06-30,0.011102488870204708
2021-07-31,0.10310879461575873
2021-08-31,0.0761503032967068
2021-09-30,-0.06642073546679905
2021-10-31,0.01697286170518697
2021-11-30,0.23917759258592275
2021-12-31,0.09901376573949716
2022-01-31,-0.10092113949311365
2022-02-28,-0.10912894791476058
2022-03-31,0.1028973977687051
2022-04-30,-0.05215368969426781
2022-05-31,0.08971958111713674
2022-06-30,-0.011500760034050428
2022-07-31,-0.02914501975322925
2022-08-31,-0.10453376088074318
2022-09-30,-0.03250055400413754
2022-10-31,0.06375683463932647
2022-11-30,0.08613659489677872
2022-12-31,0.02214241565534203
