Algorithm,Average Best Fitness,Std Dev of Best Fitness
Basic EP,0.3098291061031505,0.004958471238657313
Advanced EP,0.312225084016206,0.0043350284170711705
Basic ES,0.30849638569959587,0.0035841479870749727
Advanced ES,0.31049543427282944,0.0051592614369363
(μ + λ) ES,0.3222985089517455,0.002616153283803827
"(μ, λ) ES",0.3238931764839651,0.0015365370906571347
